geoid,year,Total Housing Units,Occupied Housing Units,Vacant Housing Units
16000US0455000,2008,577323,493898,83425
16000US0455000,2009,607882,516655,91227
16000US0455000,2010,601370,511432,89938
16000US0455000,2011,604835,519369,85466
16000US0455000,2012,596762,521555,75207
16000US0455000,2013,594695,517276,77419
16000US0455000,2014,603500,532210,71290
16000US0455000,2015,599164,534199,64965
16000US0455000,2016,611421,555953,55468
16000US0455000,2017,618561,559155,59406
16000US0455000,2018,627844,574645,53199
16000US0455000,2019,637511,586878,50633
16000US0455000,2021,644625,602039,42586
