geoid,year,Total,Family households,Family households- Married-couple family,Family households- Other family,"Family households- Other family- Male householder,no wife","Family households- Other family- Female householder,no husband",Nonfamily households,Nonfamily households- Householder living alone,Nonfamily households- Householder not living alone
16000US0455000,2008,493898,308067,208802,99265,33169,66096,185831,145290,40541
16000US0455000,2009,516655,335343,227967,107376,34635,72741,181312,144382,36930
16000US0455000,2010,511432,326132,215746,110386,31407,78979,185300,145407,39893
16000US0455000,2011,519369,329717,216329,113388,35719,77669,189652,150800,38852
16000US0455000,2012,521555,326255,208149,118106,33709,84397,195300,152745,42555
16000US0455000,2013,517276,326530,210832,115698,33918,81780,190746,147526,43220
16000US0455000,2014,532210,331653,214204,117449,39574,77875,200557,154750,45807
16000US0455000,2015,534199,336611,217372,119239,38701,80538,197588,151414,46174
16000US0455000,2016,555953,356533,231311,125222,38082,87140,199420,156904,42516
16000US0455000,2017,559155,355797,235323,120474,39621,80853,203358,158224,45134
16000US0455000,2018,574645,363791,233993,129798,40788,89010,210854,160472,50382
16000US0455000,2019,586878,376518,249727,126791,41443,85348,210360,159962,50398
16000US0455000,2021,602039,385022,250761,134261,46825,87436,217017,163079,53938
